Name	Reactants
rule0710	METHYL_DONOR_CoF;Any
rule0711	METHYL_ACCEPTOR_CoF;Any
rule0712	Any;Any
rule0713	Any;Any
rule0714	CoA;Any;Any
rule0715	Any;Any;WATER
rule0716	Any;Any
rule0717	Any;PPI
rule0718	Any;Any
rule0719	Any;Any
rule0720	Any;Any
rule0721	Any;PPI
rule0722	Any;Pi
rule0723	Any;Any
rule0724	Any;Any
rule0725	Any;Any
rule0726	Any;HCl;NH3
rule0727	Any;WATER
rule0728	Pi;Any
rule0729	Any
rule0730	Any;CO2;Any
rule0731	Any;WATER
rule0732	Any;Any;CO2;NH3
rule0733	Any;WATER;WATER
rule0734	Any;CO2;Any
rule0735	Any;WATER
rule0736	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0737	Any;WATER;WATER;PHOSPHATE_DONOR_CoF
rule0738	Any;NH3
rule0739	Any;WATER
rule0740	Any;SULFITE
rule0741	Any;WATER
rule0742	AMINO_CoF;Any
rule0743	CARBONYL_CoF;Any
rule0744	CARBONYL_CoF;Any
rule0745	AMINO_CoF;Any;CO2
rule0746	Any;PPI
rule0747	Any
rule0748	Any;SULFITE
rule0749	Any
rule0750	Any
rule0751	Any;Any;CO2;WATER
rule0752	Any;Any;O2
rule0753	Any;NADH_CoF
rule0754	Any;NAD_CoF
rule0755	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
rule0756	Any;Any;PYROPHOSPHATE_DONOR_CoF
rule0757	Any;Any
rule0758	Any;WATER
rule0759	Any;Any;PHOSPHATE_DONOR_CoF
rule0760	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0761	Any;PHOSPHATE_ACCEPTOR_CoF
rule0762	Any;PHOSPHATE_DONOR_CoF
rule0763	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
rule0764	Any;Any;PYROPHOSPHATE_DONOR_CoF
rule0765	Any;PPI
rule0766	Any
rule0767	Any;Any
rule0768	Pi;Any
rule0769	Any;Any
rule0770	Any;Any
rule0771	Any
rule0772	Any
rule0773	Any;CO2;WATER
rule0774	Any;Any
rule0775	Any;Any
rule0776	Any;SULFATE
rule0777	Any;WATER
rule0778	Any;Any
rule0779	Any;Any
rule0780	Any;CO2;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0781	Any;PHOSPHATE_DONOR_CoF
rule0782	Any;NH3;Pi
rule0783	Any;WATER
rule0784	Any;Any
rule0785	Any
rule0786	Any;NH3
rule0787	Any;WATER
rule0788	Any;NADH_CoF;CARBONYL_CoF
rule0789	AMINO_CoF;Any;NAD_CoF
rule0790	Any;Any;O2
rule0791	Any;H2O2
rule0792	Any;WATER;WATER
rule0793	Any;Any;H2O2
rule0794	Any;Any
rule0795	HCl;Any
rule0796	Any
rule0797	Any;WATER
rule0798	Any
rule0799	Any;Reduced-Factor-F420_CoF
rule0800	Any;Oxidized-Factor-F420_CoF
rule0801	Any
rule0802	Any
rule0803	Any
rule0804	Any;NH3
rule0805	Any;Any
rule0806	CoA;Any
rule0807	Any;Pi
rule0808	Any
rule0809	Any
rule0810	Any
rule0811	Any
rule0812	Any;Any
rule0813	Any;CO2;PPI
rule0814	Any;SULFATE_DONOR_CoF
rule0815	Any;SULFATE_ACCEPTOR_CoF
rule0816	Any;Any
rule0817	Any;WATER
rule0818	Any;O2
rule0819	Any
rule0820	NAD_CoF;WATER;Any
rule0821	Any;NADH_CoF;O2
rule0822	Any;WATER
rule0823	Any;WATER;WATER
rule0824	HI;Any;H2O2
rule0825	Any;Any;Any
rule0826	Any;Any
rule0827	Any
rule0828	Any;CO2
rule0829	Any
rule0830	METHYL_ACCEPTOR_CoF;Any
rule0831	METHYL_DONOR_CoF;Any
rule0832	Any;Ubiquinols_CoF
rule0833	Any;Ubiquinones_CoF
rule0834	CoA;CoA;Any;CO2
rule0835	Any;WATER;Any
rule0836	Any;NADH_CoF
rule0837	Any;NAD_CoF;Any
rule0838	Any;WATER;CO2
rule0839	Any;O2;O2
rule0840	Any;NADH_CoF
rule0841	HI;Any;NAD_CoF
rule0842	Any;Any
rule0843	Any;Any
rule0844	Any
rule0845	Any;Any
rule0846	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
rule0847	Any;Any;PYROPHOSPHATE_DONOR_CoF
rule0848	WATER;Any
rule0849	Any;Pi
rule0850	Any;PPI
rule0851	Any
rule0852	Any;PPI
rule0853	Any;WATER
rule0854	Any
rule0855	WATER;Any
rule0856	Any;Any
rule0857	Any;WATER
rule0858	FADH2_CoF;Any
rule0859	FAD_CoF;Any
rule0860	Any
rule0861	Any
rule0862	Any
rule0863	Any
rule0864	Any
rule0865	Any
rule0866	Any;WATER
rule0867	Any
rule0868	Any;WATER
rule0869	Any
rule0870	Any;NAD_CoF;Any
rule0871	Any;NADH_CoF
rule0872	Any
rule0873	Any
rule0874	FADH2_CoF;Any;O2
rule0875	Any;WATER
rule0876	Any;O2
rule0877	Any;NAD_CoF;Any
rule0878	NADH_CoF;Any
rule0879	Any;NADH_CoF
rule0880	Any;WATER
rule0881	Any;Pi
rule0882	Any
rule0883	Any;Any;Any
rule0884	Any;Any
rule0885	Any;CARBONYL_CoF;H2O2
rule0886	AMINO_CoF;Any;O2
rule0887	Any;O2
rule0888	CO2;WATER;Any
rule0889	Any;PPI
rule0890	CoA;Any
rule0891	Any
rule0892	Any
rule0893	Any
rule0894	Any;WATER;WATER
rule0895	Any;H2O2
rule0896	Any;H2O2
rule0897	Any
rule0898	Any;WATER
rule0899	Any;NAD_CoF;WATER;WATER
rule0900	Any;Any;CO2
rule0901	Any;Any;O2
rule0902	Any;NAD_CoF;WATER;WATER
rule0903	Any;NADH_CoF;O2
rule0904	METHYL_ACCEPTOR_CoF;Any
rule0905	METHYL_DONOR_CoF;CO2;Any
rule0906	Any
rule0907	Any
rule0908	Any
rule0909	Any
rule0910	Any;Any
rule0911	Any
rule0912	HCl;Any
rule0913	Any
rule0914	Any;WATER
rule0915	Any;SULFITE
rule0916	WATER;Any
rule0917	Any;O2
rule0918	Any;WATER
rule0919	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0920	NAD_CoF;Any;WATER
rule0921	Any;NADH_CoF;O2
rule0922	NAD_CoF;WATER;Any
rule0923	Any;NADH_CoF;O2
rule0924	NAD_CoF;Any;WATER;WATER
rule0925	Any;NADH_CoF;O2
rule0926	H2O2;Any
rule0927	Any;H2O2
rule0928	Any
rule0929	Any
rule0930	Any;Any
rule0931	Any
rule0932	FADH2_CoF;Any;CO2
rule0933	Any;FAD_CoF
