c1ccc(cc1)C[C@H]2CCCC[C@@H]2O	ZINC01640897
C[NH2+]CCCCC[NH2+]C	ZINC01640921
c1ccc(cc1)C[C@@]23CCCC[C@@H]2O3	ZINC01646265
c1cc2ccc(c3c2c(c1)CC3)NC(=O)CSCC(=O)[O-]	ZINC01648047
CCOC(=O)Nc1cc(ccc1O)Cl	ZINC01655941
C[NH+](C)Cc1cccc2c1cccc2	ZINC01662344
CCOC(c1c(c(nc(n1)N)N)c2ccc(cc2)Cl)OCC	ZINC01668015
Cc1ccc(c(c1)CC[C@H](CCl)O)C	ZINC01669858
c1cc2ccc(c3c2c(c1)C=CC3=O)O	ZINC01670914
c1c(c(nc(n1)Cl)Cl)Cl	ZINC01672144
Cc1nc(c(c(n1)Cl)CBr)Cl	ZINC01672145
CCc1cnc(c(n1)Cl)CC	ZINC01672296
CC[C@@H]([N+](=O)[O-])P(=O)(OCC)OCC	ZINC01676192
C1C[NH+]1CCS(=O)(=O)CC[NH+]2CC2	ZINC01677195
C[NH+](C)CCC(=O)OCC[N+](C)(C)C	ZINC01677408
c1cnc(nc1N2CCOCC2)N3CCOCC3	ZINC01677603
c1cnc(nc1N2CCCCC2)N3CCCCC3	ZINC01677613
C[N+](C)(C)CCCCC[N+](C)(C)C	ZINC01683094
c1ccc(c(c1)C(=O)c2cccc(c2N)Cl)C(=O)[O-]	ZINC01683101
c1ccc(cc1)C(=O)NCCCCC(C(=O)[O-])(Cl)Cl	ZINC01683178
COc1cccc(c1O)CNc2ccccc2	ZINC01683255
c1ccc(cc1)[C@H](C2=CC(=O)c3ccccc3C2=O)O	ZINC01689041
CCc1cc(nc(n1)Cl)Cl	ZINC01689136
CCCc1cc(nc(n1)Cl)Cl	ZINC01689137
CC(C)c1cc(nc(n1)Cl)Cl	ZINC01689138
CC[NH+](CC)CCCC#CC[NH+]1CCCCC1	ZINC01689789
CS(=O)(=O)OCCCCCF	ZINC01692386
COc1ccc2c(c1)C(=O)[C@@H]3[C@@](N2)(C(=O)NC(=O)N3)Br	ZINC01694018
C[C@H]1c2c(c(ncn2)N)CN1C(=O)c3ccccc3	ZINC01698239
COc1ccc(cc1)NC(=O)[C@H](c2ccccc2)O	ZINC01700031
CO[C@H]1CC=C2CC[NH+]3[C@]2(C1)C4=C(CC3)COC(=O)C4	ZINC01700279
c1ccc2c(c1)cc-3c(=O)[nH]c(=O)nc3n2CCO	ZINC01703515
CCO[C@H](c1ccccc1)C(=O)OCC	ZINC01707352
COc1ccccc1/C=N/N=C/c2ccccc2O	ZINC01709464
CC1=CC[C@H](C1(C)C)CC(OC)OC	ZINC01710046
c1ccc(cc1)C(C2CCCCC2)(C3CCCCC3)O	ZINC01710992
c1ccc(cc1)S[C@H]2CCCC[C@@H]2O	ZINC01715810
COC(=O)[C@](c1ccccc1)([C@H](c2ccccc2)O)O	ZINC01717751
