SMILES,ID
OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,445962Z01
C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,445966Z01
OC1OC[C@@H](O)[C@@H](O)[C@H]1O,445970Z01
O=C1NS(=O)(=O)c2ccccc21,445974Z01
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,445978Z01
C=CC/C(=N\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,445992Z01
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,445996Z03
CC(=O)OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,446000Z01
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,446004Z01
OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,446008Z01
OC1OC[C@@H](O)[C@H](O)[C@H]1O,446012Z01
NC(CSSC[C@H](N)C(=O)O)C(=O)O,446016Z01
CC1=CC=C(C(C)C)CC1,446019Z01
CCCCCC(=O)O,446022Z01
Cc1ccc(C(=O)O)cc1,446025Z01
O=Cc1ccc(O)c(O)c1,446029Z01
Cc1cc(C)nc(C)c1,446032Z01
CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,446036Z01
CCCCCCCCCCC,446038Z01
COc1c(O)c2c(c3oc(=O)ccc13)C(C)(C)C(C)O2,446040Z01
CC12C(=O)OC(=O)C1(C)C1CCC2O1,446043Z01
CC(=O)OCC1=CO[C@@H](OC(=O)CC(C)C)[C@@]2(C)C1C[C@H](OC(=O)CC(C)C)C21CO1,446047Z01
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,446051Z01
CCCCCCCCCCCCCCCCCCCCCCCC,446055Z01
C/C=C1/CN2C3C[C@@H]1C(C=O)(C(=O)OC)[C@@]14C[C@@H]2O[C@@]31Nc1ccccc14,446059Z01
C/C=C1/CN2C3C[C@@H]1C(C(=O)OC)[C@@]14C[C@@H]2O[C@@]31Nc1ccccc14,446063Z01
C/C=C1/CN2CC[C@@]34c5ccccc5N(C)C23C2C[C@@H]1C4(C(=O)OC)C(O)O2,446066Z01
C/C=C1/CN2CC[C@@]34c5ccccc5N(C)C23C(O)C[C@@H]1C4(CO)C(=O)OC,446071Z01
C/C=C1/CN2CC[C@@]34c5ccccc5N(C)C23[C@H](OC(C)=O)C[C@@H]1C4(CO)C(=O)OC,446076Z01
COc1c2c(cc3occ(-c4ccc(O)cc4)c(=O)c13)OCO2,446080Z01
C/C=C1/CN2CCc3c4n(c5ccccc35)[C@@H](C(=O)OC)[C@H]1CC42,446084Z01
CC[C@@]12CCCN3CCc4c(n(c5ccccc45)[C@H](O)C1)C32,446088Z01
C/C=C1/CN2CC[C@@]34c5ccccc5N(C)C23C(O)C[C@@H]1C4C(=O)OC,446092Z01
C/C=C1/CN(C)C2Cc3c([nH]c4ccccc34)C(=O)C[C@@H]1C2C(=O)OC,446095Z01
C/C=C1/CN2CC[C@@]34c5ccccc5N(C)C3C2C[C@@H]1C4C(=O)OC,446098Z01
C/C=C1/COC(O)C23C(=O)OC(C[C@@H]12)C12NCC[C@]31c1ccccc1N2C,446101Z01
CC[C@H]1[C@@H]2OC(=O)[C@H](C)[C@H]2[C@@H]2C[C@@H]([C@@H]3C[C@H](C)C(=O)O3)N3CCCC[C@H]1[C@@H]23,446105Z01
CC[C@H]1[C@@H]2OC(=O)[C@H](C)[C@H]2c2cc([C@@H]3C[C@H](C)C(=O)O3)n3c2[C@@H]1CCCC3,446109Z01
CCC1C2CC(CCN3C(C4CC(C)C(=O)O4)CCC23)OC12CC(C)C(=O)O2,446113Z01
CCC1C2CCCCN3C(=O)CC(C4C(C)C(=O)OC14)C23,446117Z01
CCC1C2OC(=O)C(C)C2C2(O)CC(C3CC(C)C(=O)O3)N3CCCCC1C32O,446121Z01
CCC(C)C(=O)NC(CCC(N)=O)C(=O)NCCc1ccccc1,446125Z01
C/C=C1/CN2CCc3c([nH]c4ccccc34)C(=O)CC1C(CO)C2=O,446129Z01
